Remarkably Bright Creatures,Shelby Van Pelt,Contemporary Fiction,"[['9112'], ['0'], ['0', '9622']]",Ethan Mack,['Grocery Store Owner'],['1420'],Tova Sullivan,['Cleaning Woman'],Marcellus,['Aquarium Resident'],Cameron Cassmore,"['Unemployed', 'Maintenance Worker']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam,Allegra Goodman,Contemporary Fiction,[['0']],Climbing Coach,['Coach'],['3422'],Sam,['Teenager'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Same As It Ever Was,Claire Lombardo,Contemporary Fiction,[[0]],None,['None'],['0'],Julia Ames,['Unknown'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich,Catherine Newman,Contemporary Fiction,[['0']],Nick,['Unknown'],['0'],Rocky,['Unknown'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday Night at the Lakeside Supper Club,J. Ryan Stradal,Contemporary Fiction,"[['1412'], [0], ['1412', '5131'], [0]]",Ned Prager,"['Restaurant Manager', 'Bartender']","['1412', '5131']",Mariel Prager,['Restaurant Owner'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second Act,Danielle Steel,Contemporary Fiction,"[['1221'], ['2641']]",Violet Smith,['Journalist'],['2641'],Andy Westfield,['Head of Movie Studio'],Violet Smith,['Journalist'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Fires,Dani Shapiro,Contemporary Fiction,"[['2654'], ['3434'], ['2211'], ['0']]",Peter,['Screenwriter'],['2641'],Sarah Wilf,['Film Producer'],Theo Wilf,['Chef'],Ben Wilf,['Doctor'],Waldo Shenkman,['Student'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sipsworth,Simon Van Booy,Contemporary Fiction,[['2212']],Cecil Parks,['Shopkeeper'],['5221'],Helen Cartwright,['Head of Pediatric Cardiology'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Someone Else's Shoes,Jojo Moyes,Contemporary Fiction,"[['3322'], ['0']]",Joel,['Unknown'],['0'],Sam Kemp,['Printing Salesperson'],Nisha Cantor,['Unknown'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stolen,Ann-Helen Laestadius,Contemporary Fiction,[[0]],None,['None'],['None'],Elsa,"['Child', 'Reindeer herder']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summer on Highland Beach,Sunny Hostin,Contemporary Fiction,[[0]],Ethan Rivera,['None'],['0'],Olivia,['Unknown'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summer Sisters,Judy Blume,Contemporary Fiction,"[['3431', '2431'], ['0']]",Bru,['Unknown'],['0'],Victoria Leonard,"['Video Editor', 'PR Firm Employee']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swamp Story,Dave Barry,Contemporary Fiction,"[[0], [1420]]",Phil,['None'],['0'],Jesse Braddock,['Unemployed'],Ken Bortle,['Store Owner'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swan Song,Elin Hilderbrand,Contemporary Fiction,"[['1349'], ['5151', '2641']]",Lamont Oakley,['Yacht Crew'],['8341'],Ed Kapenash,['Chief of Police'],Colleen 'Coco'Ã‚Â Coyle,"['Personal Concierge', 'Screenwriter']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Alchemist,Paulo Coelho,Contemporary Fiction,"[['6121', '5223']]",Fatima,['Unknown'],['0'],Santiago,"['Shepherd', ""Crystal Merchant's Assistant""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Boy and the Dog,Seishu Hase,Contemporary Fiction,"[[0], [0]]",None,['None'],['0'],Tamon,['Dog'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Celebrants,Steven Rowley,Contemporary Fiction,"[[0], [0], [0], [0], [0]]",None,['None'],['0'],Jordan Vargas,['Unknown'],Jordan Tosic (Jordy),['Unknown'],Naomi Ito,['Unknown'],Craig Scheffler,['Unknown'],Marielle Holland,['Unknown'],,,,,,,,,,,,,,,,,,,,,,,,,,
The Fellowship of Puzzlemakers,Samuel Burr,Contemporary Fiction,"[['7318'], ['7318'], ['7318']]",Mara,['None'],['0'],Clayton,['Puzzle Maker'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Five-Star Weekend,Elin Hilderbrand,Contemporary Fiction,"[['2641'], ['2641']]",Jack,['Unknown'],['0'],Hollis Shaw,['Food Blogger'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Full Moon Coffee Shop,Mai Mochizuki,Contemporary Fiction,"[['2641', '2641'], ['2654']]",Akiko,['None'],['0'],Mizuki Serikawa,"['Television Writer', 'Video Game Scriptwriter']",Akari,['TV Director'],Takashi Mizumoto,['IT Entrepreneur'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Guncle Abroad,Steven Rowley,Contemporary Fiction,[['2655']],None,['None'],['0'],Patrick,['Actor'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hotel Nantucket,Elin Hilderbrand,Contemporary Fiction,"[['1412'], ['9112'], ['0']]",Mario Subiaco,['Chef'],['3434'],Lizbet Keaton,['General Manager'],Chadwick Winslow,['Housekeeper'],Kimber Marsh,['Unknown'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Husbands,Holly Gramazio,Contemporary Fiction,[['0']],Carter,['Real Estate Agent'],['3334'],Lauren,['Unknown'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Making of Another Major Motion Picture Masterpiece,Tom Hanks,Contemporary Fiction,"[['0310'], ['2166'], ['2654'], ['2655'], ['3435']]",None,['None'],['0'],Troubled Soldier,['Soldier'],Young Boy,['Artist'],Eccentric Director,['Film Director'],Pompous Film Star,['Actor'],Production Assistant,['Production Assistant'],,,,,,,,,,,,,,,,,,,,,,,,,,
The Rachel Incident,Caroline O'Donoghue,Contemporary Fiction,"[['0', '2642'], ['0', '2641']]",James Carey,['Physiotherapist'],['2264'],Rachel,"['College student', 'Journalist, 'Bookstore worker']",James Devlin,"['Bookstore worker', 'Screenwriter']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sister Effect,Susan Mallery,Contemporary Fiction,"[['0'], ['0']]",Jericho,['Unknown'],['0'],Finley McGowan,['Unknown'],Sloane,['Unknown'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Summer of Songbirds,Kristy Woodson Harvey,Contemporary Fiction,"[[0], [0], [0], [0]]",Owen,['None'],['None'],Daphne,['Attorney'],Lanier,['Unknown'],Mary Stuart,['Unknown'],June,['Camp owner'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Summer Pact,Emily Giffin,Contemporary Fiction,"[[0], [2655], [2611, 2330]]",Olivia,['Professional Tennis Player'],['3421'],Hannah Davis,['College student'],Lainey Lawson,['Actor'],Tyson Bishop,"['Trial Lawyer', 'High School English Teacher']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Summer Place,Jennifer Weiner,Contemporary Fiction,"[[0], [0], [2641], [0], [0]]",None,['None'],['None'],Sarah Danhauser,['Unknown'],Ruby,['Unknown'],Veronica,['Writer'],Sam,['Unknown'],Eli,['Unknown'],,,,,,,,,,,,,,,,,,,,,,,,,,
The Wedding People,Alison Espach,Contemporary Fiction,"[['2310', '2641', '5151']]",Gary,['Doctor'],['0'],Phoebe Stone,"['Adjunct Victorian Literature Professor', 'Professional Writer', 'Winter Keeper']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Whittiers,Danielle Steel,Contemporary Fiction,"[[0], [2411], [1420], [1420], [0], [0]]",None,['None'],['0'],Lyle,['Unknown'],Gloria,['Wall Street Professional'],Caroline,['Fashion Business Owner'],Charlie,['Fashion Business Owner'],Benjie,['Unknown'],Annabelle,['College Student'],,,,,,,,,,,,,,,,,,,,,,,,
The Winners,Fredrik Backman,Contemporary Fiction,"[['2652'], ['0'], ['3421'], ['1213'], ['2611'], ['0']]",Bobo,['Unknown'],['0'],Maya Andersson,['Singer'],Benji Ovich,['Unknown'],Amat,['Hockey Player'],Peter Andersson,['General Manager'],Kira Andersson,['Lawyer'],Matteo,['Unknown'],,,,,,,,,,,,,,,,,,,,,,,,
The Wishing Game,Meg Shaffer,Contemporary Fiction,[['5312']],Hugo Reese,['Illustrator'],['2166'],Lucy Hart,['Teacher's Aide'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Things I Wish I Told My Mother,Susan Patterson,Contemporary Fiction,"[['2211'], ['2651']]",None,['None'],['0'],Liz,['Doctor'],Laurie,['Artist'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Time Tomorrow,Emma Straub,Contemporary Fiction,[['3341']],Tommy,['Unknown'],['0'],Alice Stern,['Admissions Officer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial by Fire,Danielle Steel,Contemporary Fiction,[['1120']],Tom Brennan,['Unknown'],['0'],Dahlia de Beaumont,['Owner and CEO of Lambert Perfumes'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True Colors,Kristin Hannah,Contemporary Fiction,"[['2611'], [0], [0]]",Dallas Raintree,['Unknown'],[0],Winona,['Lawyer'],Vivi Ann,['Rancher'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welcome to Beach Town,Susan Wiggs,Contemporary Fiction,[[0]],Jack McGill,['None'],['None'],Nikki Graziola,['High school student'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welcome to the Hyunam-dong Bookshop,Hwang Bo-reum,Contemporary Fiction,"[['2419', '5221']]",Writer,['Writer'],['2641'],Yeongju,['Bookshop Owner'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We'll Prescribe You a Cat,Syou Ishida,Contemporary Fiction,"[[0], [0]]",Miyu Sato,['None'],['None'],Bee,['Unknown'],Kotetsu,['Unknown'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wish You Were Here,Jodi Picoult,Contemporary Fiction,"[['2631', '2635']]",Finn Colson,['Surgical Resident'],['2212'],Diana O'Toole,"['Art Auction Associate Specialist', 'Certified Art Therapist']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worry,Alexandra Tanner,Contemporary Fiction,"[[0], [0]]",None,['None'],['None'],Jules Gold,['Writer'],Poppy,['Unknown'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Your Driver Is Waiting,Priya Guns,Contemporary Fiction,[['8322']],Jolene,['Unknown'],['0'],Damani,['RideShare Driver'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Christmas Memory,Richard Paul Evans,Contemporary Fiction,[['1']],None,['None'],['0'],Richard,['Child'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daisy Jones & the Six,Taylor Jenkins Reid,Contemporary Fiction,"[['2652'], ['2652']]",Billy Dunne,['Singer-songwriter'],['2652'],Daisy Jones,['Singer-songwriter'],Billy Dunne,['Singer-songwriter'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husbands & Lovers,Beatriz Williams,Contemporary Fiction,"[[0], [0]]",Monk Adams,['Singer-Songwriter'],[2652],Mallory Dunne,['Unknown'],Hannah Ainsworth,['Unknown'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lessons in Chemistry,Bonnie Garmus,Contemporary Fiction,"[['2113', '2656']]",Calvin Evans,['Chemist'],['2113'],Elizabeth Zott,"['Chemist', 'Television Host']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island Compromise,Taffy Brodesser-Akner,Contemporary Fiction,"[['1321'], ['0'], ['2641'], ['2611'], ['3343']]",None,['None'],,Carl Fletcher,['Factory Owner'],Ruth Fletcher,['Unknown'],Bernard 'Beamer' Fletcher,['Action Film Screenwriter'],Nathan Fletcher,['Lawyer'],Jenny Fletcher,['Graduate Student Union Worker'],,,,,,,,,,,,,,,,,,,,,,,,,,
Malibu Rising,Taylor Jenkins Reid,Contemporary Fiction,"[['5241'], ['3421'], ['3431'], ['0']]",Brandon Randall,['Professional Tennis Player'],['3421'],Nina Riva,['Professional Model'],Jay Riva,['Professional Surfer'],Hud Riva,['Surf Photographer'],Kit Riva,['Unknown'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Beach at Summerly,Beatriz Williams,Contemporary Fiction,[[0]],Peter,['None'],['None'],Emilia Winthrop,"['CIA agent', 'Professor']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Divorcees,Rowan Beaird,Contemporary Fiction,"[[0], [0]]",None,['None'],['0'],Lois Saunders,['Unknown'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Paris Novel,Ruth Reichl,Contemporary Fiction,"[['2641', '1431']]",Django,['Chef'],['3434'],Stella St. Vincent,"['Copy Editor', 'Restaurant Owner']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Contemporary Fiction,"[['2642', '2642'], ['2654']]",Celia St. James,['Actress'],['2654'],Monique Grant,"['Junior Reporter', 'Biographer']",Evelyn Hugo,['Actress'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alone with You in the Ether,Olivie Blake,Contemporary Fiction,"[['8'], ['15']]",Charlotte Regan,['Counterfeit Artist'],['15'],Aldo Damiani,['Doctoral Student'],Charlotte Regan,['Counterfeit Artist'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beautiful World, Where Are You",Sally Rooney,Contemporary Fiction,"[['2641'], ['2642'],[0],[9333]]",Simon,['Unknown'],['0'],Alice Kelleher,['Novelist'],Eileen Lydon,['Editorial Assistant'],Simon,['Unknown'],Felix,['Warehouse worker'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhibit,R. O. Kwon,Contemporary Fiction,"[['3431'], ['2653']]",Lidija Jung,['Ballerina'],['2653'],Jin Han,['Photographer'],Lidija Jung,['Ballerina'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Two Persons,Erica Bauermeister,Contemporary Fiction,"[['2641'], [1], ['3421'], ['2651'], ['5223'], [0]]",None,['None'],,Alice,['Writer'],Teenager,['Not Applicable'],Free Diver,['Free Diver'],Artist,['Artist'],Bookseller,['Bookseller'],Widower,['Unknown'],,,,,,,,,,,,,,,,,,,,,,,,
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Contemporary Fiction,"[['2513', '2513'], ['2513']]",Marx Watanabe,['Business Manager'],['1219'],Sam Masur,"['Game Designer', 'Game Developer']",Sadie Green,['Game Designer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Hope This Finds You Well,Natalie Sue,Contemporary Fiction,"[['3341', '2635']]",Cliff Redmond,"['Human Resources Analyst', 'Employee Advocate']",['2423'],Jolene Smith,"['Administrative Technician', 'Youth Counselor']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Little Village of Book Lovers,Nina George,Contemporary Fiction,[['2622']],Unknown,['Unknown'],['0'],Marie-Jeanne,['Mobile Librarian'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear,Julia Phillips,Contermporary Fiction,"[['5246'], ['9100']]",Ben,['Unknown'],['0'],Sam Arthur,['Concessions Seller'],Elena Arthur,['Golf Course Worker'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Day of Fallen Night,Samantha Shannon,Fantasy,"[['11'], ['11', '10'], ['3413', '0310']]",Nikeya,['Court Member'],['1112'],Glorian,['Queen'],Dumai,"['Empress', 'Court Leader']",Tunuva Melim,"['Sister of the Priory', 'Warrior']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Deadly Education,Naomi Novik,Fantasy,[['7']],Orion Lake,['Student'],['7'],Galadriel 'El' Higgins,['Student'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Magical Girl Retires,Park Seolyeon,Fantasy,[['9']],None,[None],,Unnamed Millennial,['Magical Girl'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Short Walk Through a Wide World,Douglas Westerbeke,Fantasy,[['9']],Uzair Ibn-Kadder,['Scientist'],['2110'],Aubry Tourvel,['Traveler'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Sorceress Comes to Call,T. Kingfisher,Fantasy,"[['1'], ['0']]",None,['None'],,Cordelia,['Child'],Hester,['Unknown'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atalanta,Jennifer Saint,Fantasy,"[['6224', '0310']]",Meleager,['Unknown'],['0'],Atalanta,"['Huntress', 'Warrior']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babel,R.F. Kuang,Fantasy,[['7']],None,['None'],,Robin Swift,['College student (linguistics)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Candle Women,Diane Marie Brown,Fantasy,"[['0'], ['2634'], ['0'], ['0']]",None,['None'],,Augusta Montrose,['Unknown'],Victoria Montrose,['Therapist'],Willow Montrose,['Unknown'],Nickie Montrose,['Unknown'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
